"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","shape","best_mod","aic_diff"
"1",1,"abs_max_d2",0.453333333333333,3,0,0.282872173722808,"none",1.00775260605859,-0.101085939391928,0.8305,0.0705000000000003,1.09538993876662,0.0275,25,0.25,1,"skew","lm_ns",-6.28403995506233e-11
"2",1,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-6.28403995506233e-11
"3",1,"abs_max_d2",0.46,1,0,NA,"sim_int",NA,NA,NA,NA,1.10205660543329,0.0275,25,0.25,1,"skew","lm_ns",-6.28403995506233e-11
"4",2,"abs_max_d2",-0.262857142857143,21,1,0.00515474815790535,"none",-0.252754022118274,-0.272960263596011,-0.215,-0.3,0.379199462576143,0.0275,25,0.25,1,"skew","gam_ns",0.204073389611523
"5",2,"abs_max_d2",-0.262857142857143,21,NA,0.00515474815790535,"jack_quant",-0.252754022118274,-0.272960263596011,-0.215,-0.3,0.379199462576143,0.0275,25,0.25,1,"skew","gam_ns",0.204073389611523
"6",2,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_ns",0.204073389611523
"7",3,"abs_max_d2",0.465,2,0,NA,"none",NA,NA,0.48875,0.44125,1.10705660543329,0.0275,25,0.25,1,"skew","lm_ns",-1.16585852083517e-10
"8",3,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-1.16585852083517e-10
"9",3,"abs_max_d2",0.49,1,0,NA,"sim_int",NA,NA,NA,NA,1.13205660543329,0.0275,25,0.25,1,"skew","lm_ns",-1.16585852083517e-10
"10",4,"abs_max_d2",-0.783333333333333,24,1,0.00498264157613655,"none",-0.773567535296234,-0.793099131370433,-0.74575,-0.8285,-0.141276727900047,0.0275,25,0.25,1,"skew","gam_ns",1.0018282708713
"11",4,"abs_max_d2",-0.783333333333333,24,NA,0.00498264157613655,"jack_quant",-0.773567535296234,-0.793099131370433,-0.74575,-0.8285,-0.141276727900047,0.0275,25,0.25,1,"skew","gam_ns",1.0018282708713
"12",4,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","gam_ns",1.0018282708713
"13",5,"abs_max_d2",-0.21,1,0,NA,"none",NA,NA,NA,NA,0.432056605433286,0.0275,25,0.25,1,"skew","lm_ns",-8.15703060652595e-11
"14",5,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-8.15703060652595e-11
"15",5,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-8.15703060652595e-11
"16",6,"abs_max_d2",-0.3164,25,1,0.0296910012555245,"none",-0.258206706874238,-0.374593293125761,0.0919999999999997,-0.438,0.325656605433286,0.0275,25,0.25,1,"skew","gam",4.8397311800079
"17",6,"abs_max_d2",-0.3164,25,NA,0.0296910012555245,"jack_quant",-0.258206706874238,-0.374593293125761,0.0919999999999997,-0.438,0.325656605433286,0.0275,25,0.25,1,"skew","gam",4.8397311800079
"18",6,"abs_max_d2",0,1,0,NA,"sim_int",NA,NA,NA,NA,0.642056605433286,0.0275,25,0.25,1,"skew","gam",4.8397311800079
"19",7,"abs_max_d2",0.0276000000000001,25,1,0.0269147316125905,"none",0.0803519046142391,-0.0251519046142389,0.31,-0.242,0.669656605433286,0.0275,25,0.25,1,"skew","gam",3.86961103945049
"20",7,"abs_max_d2",0.0276000000000001,25,NA,0.0269147316125905,"jack_quant",0.0803519046142391,-0.0251519046142389,0.31,-0.242,0.669656605433286,0.0275,25,0.25,1,"skew","gam",3.86961103945049
"21",7,"abs_max_d2",0.0276923076923078,13,1,0.0131314849668991,"sim_int",0.0534295452909591,0.00195507009365636,0.107,-0.045,0.669748913125594,0.0275,25,0.25,1,"skew","gam",3.86961103945049
"22",8,"abs_max_d2",-0.17,1,0,NA,"none",NA,NA,NA,NA,0.472056605433286,0.0275,25,0.25,1,"skew","lm_ns",-4.17230694438331e-11
"23",8,"abs_max_d2",-0.17,1,NA,NA,"jack_quant",NA,NA,NA,NA,0.472056605433286,0.0275,25,0.25,1,"skew","lm_ns",-4.17230694438331e-11
"24",8,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-4.17230694438331e-11
"25",9,"abs_max_d2",0.485,2,0,NA,"none",NA,NA,0.51825,0.45175,1.12705660543329,0.0275,25,0.25,1,"skew","lm_ns",-8.46824832478887e-11
"26",9,"abs_max_d2",0.485,2,NA,NA,"jack_quant",NA,NA,0.51825,0.45175,1.12705660543329,0.0275,25,0.25,1,"skew","lm_ns",-8.46824832478887e-11
