"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","shape","best_mod","next_mod","aic_diff"
"1",1,"abs_max_d2",-0.5616,25,1,0.0210462453764192,"none",-0.520350117052426,-0.602849882947574,-0.360000000000001,-0.638,0.0804566054332859,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",72.6388312989578
"2",1,"abs_max_d2",-0.5616,25,NA,0.0210462453764192,"jack_quant",-0.520350117052426,-0.602849882947574,-0.360000000000001,-0.638,0.0804566054332859,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",72.6388312989578
"3",1,"abs_max_d2",-0.5616,25,1,0.0210462453764192,"sim_int",-0.520350117052426,-0.602849882947574,-0.360000000000001,-0.638,0.0804566054332859,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",72.6388312989578
"4",2,"abs_max_d2",-0.382,25,1,0.00533593686452738,"none",-0.371541755921747,-0.392458244078253,-0.324,-0.41,0.260056605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",32.5962939567923
"5",2,"abs_max_d2",-0.382,25,NA,0.00533593686452738,"jack_quant",-0.371541755921747,-0.392458244078253,-0.324,-0.41,0.260056605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",32.5962939567923
"6",2,"abs_max_d2",-0.382,25,1,0.00533593686452738,"sim_int",-0.371541755921747,-0.392458244078253,-0.324,-0.41,0.260056605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",32.5962939567923
"7",3,"abs_max_d2",-0.8548,25,1,0.0340604038600706,"none",-0.788042835135373,-0.921557164864627,-0.57,-1.024,-0.212743394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",79.7558205237876
"8",3,"abs_max_d2",-0.8548,25,NA,0.0340604038600706,"jack_quant",-0.788042835135373,-0.921557164864627,-0.57,-1.024,-0.212743394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",79.7558205237876
"9",3,"abs_max_d2",-0.8548,25,1,0.0340604038600706,"sim_int",-0.788042835135373,-0.921557164864627,-0.57,-1.024,-0.212743394566714,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",79.7558205237876
"10",4,"abs_max_d2",-0.2988,25,1,0.0313155978174881,"none",-0.237422556123382,-0.360177443876618,-0.00999999999999979,-0.714,0.343256605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",69.9958816709076
"11",4,"abs_max_d2",-0.2988,25,NA,0.0313155978174881,"jack_quant",-0.237422556123382,-0.360177443876618,-0.00999999999999979,-0.714,0.343256605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",69.9958816709076
"12",4,"abs_max_d2",-0.2988,25,1,0.0313155978174881,"sim_int",-0.237422556123382,-0.360177443876618,-0.00999999999999979,-0.714,0.343256605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",69.9958816709076
"13",5,"abs_max_d2",0.0456000000000001,25,1,0.0213281243640619,"none",0.0874023556113525,0.00379764438864758,0.254,-0.172,0.687656605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",2.70401358224063
"14",5,"abs_max_d2",0.0456000000000001,25,NA,0.0213281243640619,"jack_quant",0.0874023556113525,0.00379764438864758,0.254,-0.172,0.687656605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",2.70401358224063
"15",5,"abs_max_d2",0.0899999999999999,1,0,NA,"sim_int",NA,NA,NA,NA,0.732056605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",2.70401358224063
"16",6,"abs_max_d2",-0.602,25,1,0.0179795408419928,"none",-0.566760747491127,-0.637239252508873,-0.448,-0.78,0.0400566054332858,0.0275,25,0.25,1,"skew","gam_DC","gam_DCl",93.0385279398994
"17",6,"abs_max_d2",-0.602,25,NA,0.0179795408419928,"jack_quant",-0.566760747491127,-0.637239252508873,-0.448,-0.78,0.0400566054332858,0.0275,25,0.25,1,"skew","gam_DC","gam_DCl",93.0385279398994
"18",6,"abs_max_d2",-0.602,25,1,0.0179795408419928,"sim_int",-0.566760747491127,-0.637239252508873,-0.448,-0.78,0.0400566054332858,0.0275,25,0.25,1,"skew","gam_DC","gam_DCl",93.0385279398994
"19",7,"abs_max_d2",-0.498,25,1,0.0203271848627508,"none",-0.458159449761921,-0.537840550238079,-0.248,-0.588,0.144056605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",45.7187841630058
"20",7,"abs_max_d2",-0.498,25,NA,0.0203271848627508,"jack_quant",-0.458159449761921,-0.537840550238079,-0.248,-0.588,0.144056605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",45.7187841630058
"21",7,"abs_max_d2",-0.498,25,1,0.0203271848627508,"sim_int",-0.458159449761921,-0.537840550238079,-0.248,-0.588,0.144056605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",45.7187841630058
"22",8,"abs_max_d2",-0.258,25,1,0.004249182927994,"none",-0.249671754497409,-0.266328245502591,-0.206,-0.274,0.384056605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",19.8637434491129
"23",8,"abs_max_d2",-0.258,25,NA,0.004249182927994,"jack_quant",-0.249671754497409,-0.266328245502591,-0.206,-0.274,0.384056605433286,0.0275,25,0.25,1,"skew","gam_DC","gam_DlC",19.8637434491129
