"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","shape","best_mod","aic_diff"
"1",1,"abs_max_d2",0.491951219512195,41,1,0.00348603485702456,"none",0.498783722280815,0.485118716743576,0.51,0.46,-0.180409778670526,0.014,41,0.754,0,"hockeystick","gam",105.082116801404
"2",1,"abs_max_d2",0.491951219512195,41,NA,0.00348603485702456,"jack_quant",0.498783722280815,0.485118716743576,0.51,0.46,-0.180409778670526,0.014,41,0.754,0,"hockeystick","gam",105.082116801404
"3",1,"abs_max_d2",0.491951219512195,41,1,0.00348603485702456,"sim_int",0.498783722280815,0.485118716743576,0.51,0.46,-0.180409778670526,0.014,41,0.754,0,"hockeystick","gam",105.082116801404
"4",2,"abs_max_d2",0.405609756097561,41,1,0.00545491499117773,"none",0.416301193018997,0.394918319176125,0.43,0.35,-0.266751242085161,0.014,41,0.754,0,"hockeystick","gam",94.8698794455585
"5",2,"abs_max_d2",0.405609756097561,41,NA,0.00545491499117773,"jack_quant",0.416301193018997,0.394918319176125,0.43,0.35,-0.266751242085161,0.014,41,0.754,0,"hockeystick","gam",94.8698794455585
"6",2,"abs_max_d2",0.405609756097561,41,1,0.00545491499117773,"sim_int",0.416301193018997,0.394918319176125,0.43,0.35,-0.266751242085161,0.014,41,0.754,0,"hockeystick","gam",94.8698794455585
"7",3,"abs_max_d2",0.941707317073171,41,1,0.00121975607317562,"none",0.944097995046519,0.939316639099822,0.96,0.93,0.269346318890449,0.014,41,0.754,0,"hockeystick","gam",98.3574107737807
"8",3,"abs_max_d2",0.941707317073171,41,NA,0.00121975607317562,"jack_quant",0.944097995046519,0.939316639099822,0.96,0.93,0.269346318890449,0.014,41,0.754,0,"hockeystick","gam",98.3574107737807
"9",3,"abs_max_d2",0.941707317073171,41,1,0.00121975607317562,"sim_int",0.944097995046519,0.939316639099822,0.96,0.93,0.269346318890449,0.014,41,0.754,0,"hockeystick","gam",98.3574107737807
"10",4,"abs_max_d2",0.560975609756098,41,1,0.00365384862249349,"none",0.568137021461146,0.553814198051049,0.58,0.53,-0.111385388426624,0.014,41,0.754,0,"hockeystick","gam",131.69651852002
"11",4,"abs_max_d2",0.560975609756098,41,NA,0.00365384862249349,"jack_quant",0.568137021461146,0.553814198051049,0.58,0.53,-0.111385388426624,0.014,41,0.754,0,"hockeystick","gam",131.69651852002
"12",4,"abs_max_d2",0.560975609756098,41,1,0.00365384862249349,"sim_int",0.568137021461146,0.553814198051049,0.58,0.53,-0.111385388426624,0.014,41,0.754,0,"hockeystick","gam",131.69651852002
"13",5,"abs_max_d2",0.510243902439025,41,1,0.00294719792510719,"none",0.516020304227546,0.504467500650503,0.54,0.48,-0.162117095743697,0.014,41,0.754,0,"hockeystick","gam",114.886705031147
"14",5,"abs_max_d2",0.510243902439025,41,NA,0.00294719792510719,"jack_quant",0.516020304227546,0.504467500650503,0.54,0.48,-0.162117095743697,0.014,41,0.754,0,"hockeystick","gam",114.886705031147
"15",5,"abs_max_d2",0.510243902439025,41,1,0.00294719792510719,"sim_int",0.516020304227546,0.504467500650503,0.54,0.48,-0.162117095743697,0.014,41,0.754,0,"hockeystick","gam",114.886705031147
"16",6,"abs_max_d2",0.57609756097561,41,1,0.00346190064813549,"none",0.582882761564011,0.569312360387208,0.59,0.49,-0.0962634372071118,0.014,41,0.754,0,"hockeystick","gam",102.260988882033
"17",6,"abs_max_d2",0.57609756097561,41,NA,0.00346190064813549,"jack_quant",0.582882761564011,0.569312360387208,0.59,0.49,-0.0962634372071118,0.014,41,0.754,0,"hockeystick","gam",102.260988882033
"18",6,"abs_max_d2",0.57609756097561,41,1,0.00346190064813549,"sim_int",0.582882761564011,0.569312360387208,0.59,0.49,-0.0962634372071118,0.014,41,0.754,0,"hockeystick","gam",102.260988882033
"19",7,"abs_max_d2",0.606829268292683,41,1,0.00460216015027513,"none",0.615849336438308,0.597809200147058,0.69,0.55,-0.0655317298900387,0.014,41,0.754,0,"hockeystick","gam",111.705707930194
"20",7,"abs_max_d2",0.606829268292683,41,NA,0.00460216015027513,"jack_quant",0.615849336438308,0.597809200147058,0.69,0.55,-0.0655317298900387,0.014,41,0.754,0,"hockeystick","gam",111.705707930194
"21",7,"abs_max_d2",0.606829268292683,41,1,0.00460216015027513,"sim_int",0.615849336438308,0.597809200147058,0.69,0.55,-0.0655317298900387,0.014,41,0.754,0,"hockeystick","gam",111.705707930194
"22",8,"abs_max_d2",0.784390243902439,41,1,0.00212275706593467,"none",0.788550771299599,0.780229716505279,0.8,0.76,0.112029245719718,0.014,41,0.754,0,"hockeystick","gam",118.630631244196
"23",8,"abs_max_d2",0.784390243902439,41,NA,0.00212275706593467,"jack_quant",0.788550771299599,0.780229716505279,0.8,0.76,0.112029245719718,0.014,41,0.754,0,"hockeystick","gam",118.630631244196
"24",8,"abs_max_d2",0.784390243902439,41,1,0.00212275706593467,"sim_int",0.788550771299599,0.780229716505279,0.8,0.76,0.112029245719718,0.014,41,0.754,0,"hockeystick","gam",118.630631244196
