"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","shape","best_mod","aic_diff"
"1",1,"abs_max_d2",0.15375,16,1,0.0213098829445662,"none",0.195516603086114,0.111983396913886,0.3,0.0212500000000002,0.795806605433286,0.0275,25,0.25,1,"skew","lm_ns",-0.0570506020497277
"2",1,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-0.0570506020497277
"3",1,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-0.0570506020497277
"4",2,"abs_max_d2",NA,0,0,NA,"none",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-1.13800524559338e-10
"5",2,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-1.13800524559338e-10
"6",2,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-1.13800524559338e-10
"7",3,"abs_max_d2",0.47,1,0,NA,"none",NA,NA,NA,NA,1.11205660543329,0.0275,25,0.25,1,"skew","lm_ns",-9.3493213171314e-11
"8",3,"abs_max_d2",0.47,1,NA,NA,"jack_quant",NA,NA,NA,NA,1.11205660543329,0.0275,25,0.25,1,"skew","lm_ns",-9.3493213171314e-11
"9",3,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-9.3493213171314e-11
"10",4,"abs_max_d2",-0.5772,25,1,0.0429693042893542,"none",-0.492981711152123,-0.661418288847877,-0.152,-0.75,0.0648566054332859,0.0275,25,0.25,1,"skew","gam",2.68702899411171
"11",4,"abs_max_d2",-0.5772,25,NA,0.0429693042893542,"jack_quant",-0.492981711152123,-0.661418288847877,-0.152,-0.75,0.0648566054332859,0.0275,25,0.25,1,"skew","gam",2.68702899411171
"12",4,"abs_max_d2",-0.353333333333333,3,0,0.0285773803324704,"sim_int",-0.297322697109188,-0.409343969557479,-0.3125,-0.3885,0.288723272099952,0.0275,25,0.25,1,"skew","gam",2.68702899411171
"13",5,"abs_max_d2",0.139090909090909,11,0,0.0130732203725437,"none",0.16471395018305,0.113467867998768,0.1975,0.0825,0.781147514524195,0.0275,25,0.25,1,"skew","lm_ns",-0.0110328685986332
"14",5,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-0.0110328685986332
"15",5,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.0275,25,0.25,1,"skew","lm_ns",-0.0110328685986332
"16",6,"abs_max_d2",-0.3696,25,1,0.0322935752124165,"none",-0.306305755651628,-0.432894244348372,-0.0100000000000007,-0.512,0.272456605433286,0.0275,25,0.25,1,"skew","gam",5.89848344976117
"17",6,"abs_max_d2",-0.3696,25,NA,0.0322935752124165,"jack_quant",-0.306305755651628,-0.432894244348372,-0.0100000000000007,-0.512,0.272456605433286,0.0275,25,0.25,1,"skew","gam",5.89848344976117
"18",6,"abs_max_d2",-0.265,8,0,0.0960654538768824,"sim_int",-0.0767151702428167,-0.453284829757183,0.2025,-0.55675,0.377056605433286,0.0275,25,0.25,1,"skew","gam",5.89848344976117
"19",7,"abs_max_d2",0.3736,25,1,0.0107993055332276,"none",0.39476624990317,0.35243375009683,0.452,0.248,1.01565660543329,0.0275,25,0.25,1,"skew","gam",4.02321498889236
"20",7,"abs_max_d2",0.3736,25,NA,0.0107993055332276,"jack_quant",0.39476624990317,0.35243375009683,0.452,0.248,1.01565660543329,0.0275,25,0.25,1,"skew","gam",4.02321498889236
"21",7,"abs_max_d2",0.305,2,0,NA,"sim_int",NA,NA,0.32875,0.28125,0.947056605433286,0.0275,25,0.25,1,"skew","gam",4.02321498889236
