"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","next_mod","shape","best_mod","aic_diff"
"1",1,"abs_max_d2",-0.5848,25,1,0.0214987079715141,"none",-0.542663306661688,-0.626936693338312,-0.376000000000001,-0.654,0.0572566054332858,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",0.270668507108681
"2",1,"abs_max_d2",-0.5848,25,NA,0.0214987079715141,"jack_quant",-0.542663306661688,-0.626936693338312,-0.376000000000001,-0.654,0.0572566054332858,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",0.270668507108681
"3",1,"abs_max_d2",-0.5848,25,1,0.0214987079715141,"sim_int",-0.542663306661688,-0.626936693338312,-0.376000000000001,-0.654,0.0572566054332858,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",0.270668507108681
"4",2,"abs_max_d2",-0.378,25,1,0.00517069735249619,"none",-0.367865619414151,-0.388134380585849,-0.318,-0.404,0.264056605433286,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.000231057831200587
"5",2,"abs_max_d2",-0.378,25,NA,0.00517069735249619,"jack_quant",-0.367865619414151,-0.388134380585849,-0.318,-0.404,0.264056605433286,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.000231057831200587
"6",2,"abs_max_d2",-0.378,25,1,0.00517069735249619,"sim_int",-0.367865619414151,-0.388134380585849,-0.318,-0.404,0.264056605433286,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.000231057831200587
"7",3,"abs_max_d2",-1.0628,25,1,0.027300539270213,"none",-1.00929192627186,-1.11630807372814,-0.778000000000001,-1.172,-0.420743394566714,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",2.60214036984507e-07
"8",3,"abs_max_d2",-1.0628,25,NA,0.027300539270213,"jack_quant",-1.00929192627186,-1.11630807372814,-0.778000000000001,-1.172,-0.420743394566714,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",2.60214036984507e-07
"9",3,"abs_max_d2",-1.0628,25,1,0.027300539270213,"sim_int",-1.00929192627186,-1.11630807372814,-0.778000000000001,-1.172,-0.420743394566714,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",2.60214036984507e-07
"10",4,"abs_max_d2",-0.706,25,1,0.0208499933386613,"none",-0.665134763978324,-0.746865236021676,-0.378,-0.75,-0.0639433945667141,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",4.04024787101775e-05
"11",4,"abs_max_d2",-0.706,25,NA,0.0208499933386613,"jack_quant",-0.665134763978324,-0.746865236021676,-0.378,-0.75,-0.0639433945667141,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",4.04024787101775e-05
"12",4,"abs_max_d2",-0.706,25,1,0.0208499933386613,"sim_int",-0.665134763978324,-0.746865236021676,-0.378,-0.75,-0.0639433945667141,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",4.04024787101775e-05
"13",5,"abs_max_d2",-0.6568,25,1,0.00535931173027117,"none",-0.646295942026745,-0.667304057973254,-0.616,-0.712,-0.0147433945667141,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.00189661515230455
"14",5,"abs_max_d2",-0.6568,25,NA,0.00535931173027117,"jack_quant",-0.646295942026745,-0.667304057973254,-0.616,-0.712,-0.0147433945667141,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.00189661515230455
"15",5,"abs_max_d2",-0.6568,25,1,0.00535931173027117,"sim_int",-0.646295942026745,-0.667304057973254,-0.616,-0.712,-0.0147433945667141,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.00189661515230455
"16",6,"abs_max_d2",-0.5124,25,1,0.0688781129564715,"none",-0.377401379282234,-0.647398620717766,0.219999999999998,-0.742,0.129656605433286,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.000217186160568872
"17",6,"abs_max_d2",-0.5124,25,NA,0.0688781129564715,"jack_quant",-0.377401379282234,-0.647398620717766,0.219999999999998,-0.742,0.129656605433286,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.000217186160568872
"18",6,"abs_max_d2",-0.5124,25,1,0.0688781129564715,"sim_int",-0.377401379282234,-0.647398620717766,0.219999999999998,-0.742,0.129656605433286,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.000217186160568872
"19",7,"abs_max_d2",-0.5664,25,1,0.00726196330967812,"none",-0.55216681345598,-0.58063318654402,-0.476,-0.616,0.0756566054332859,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",0.224503302766848
"20",7,"abs_max_d2",-0.5664,25,NA,0.00726196330967812,"jack_quant",-0.55216681345598,-0.58063318654402,-0.476,-0.616,0.0756566054332859,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",0.224503302766848
"21",7,"abs_max_d2",-0.5664,25,1,0.00726196330967812,"sim_int",-0.55216681345598,-0.58063318654402,-0.476,-0.616,0.0756566054332859,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",0.224503302766848
"22",8,"abs_max_d2",-0.2332,25,1,0.0247046441877726,"none",-0.184779787141089,-0.281620212858911,-0.182,-0.468,0.408856605433286,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",5.28986126369091e-06
"23",8,"abs_max_d2",-0.2332,25,NA,0.0247046441877726,"jack_quant",-0.184779787141089,-0.281620212858911,-0.182,-0.468,0.408856605433286,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",5.28986126369091e-06
"24",8,"abs_max_d2",-0.2332,25,1,0.0247046441877726,"sim_int",-0.184779787141089,-0.281620212858911,-0.182,-0.468,0.408856605433286,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",5.28986126369091e-06
"25",9,"abs_max_d2",-0.8952,25,1,0.0254618450933069,"none",-0.845295700637181,-0.945104299362819,-0.556000000000001,-0.986,-0.253143394566714,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",7.14957749892164e-07
"26",9,"abs_max_d2",-0.8952,25,NA,0.0254618450933069,"jack_quant",-0.845295700637181,-0.945104299362819,-0.556000000000001,-0.986,-0.253143394566714,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",7.14957749892164e-07
"27",9,"abs_max_d2",-0.8952,25,1,0.0254618450933069,"sim_int",-0.845295700637181,-0.945104299362819,-0.556000000000001,-0.986,-0.253143394566714,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",7.14957749892164e-07
"28",10,"abs_max_d2",-0.8704,25,1,0.0350519455792241,"none",-0.801699449076663,-0.939100550923337,-0.542000000000001,-0.93,-0.228343394566714,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.000552256728354905
"29",10,"abs_max_d2",-0.8704,25,NA,0.0350519455792241,"jack_quant",-0.801699449076663,-0.939100550923337,-0.542000000000001,-0.93,-0.228343394566714,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.000552256728354905
"30",10,"abs_max_d2",-0.8704,25,1,0.0350519455792241,"sim_int",-0.801699449076663,-0.939100550923337,-0.542000000000001,-0.93,-0.228343394566714,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.000552256728354905
"31",11,"abs_max_d2",-0.5808,25,1,0.00603577298741061,"none",-0.568970102325815,-0.592629897674185,-0.522,-0.634,0.0612566054332858,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",9.12868096255818
"32",11,"abs_max_d2",-0.5808,25,NA,0.00603577298741061,"jack_quant",-0.568970102325815,-0.592629897674185,-0.522,-0.634,0.0612566054332858,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",9.12868096255818
"33",11,"abs_max_d2",-0.5808,25,1,0.00603577298741061,"sim_int",-0.568970102325815,-0.592629897674185,-0.522,-0.634,0.0612566054332858,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",9.12868096255818
"34",12,"abs_max_d2",-0.4616,25,1,0.00173605555466664,"none",-0.458197393637693,-0.465002606362307,-0.45,-0.48,0.180456605433286,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.783865565978431
"35",12,"abs_max_d2",-0.4616,25,NA,0.00173605555466664,"jack_quant",-0.458197393637693,-0.465002606362307,-0.45,-0.48,0.180456605433286,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.783865565978431
"36",12,"abs_max_d2",-0.4616,25,1,0.00173605555466664,"sim_int",-0.458197393637693,-0.465002606362307,-0.45,-0.48,0.180456605433286,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.783865565978431
"37",13,"abs_max_d2",-0.8264,25,1,0.00506485713300758,"none",-0.816473062432464,-0.836326937567536,-0.766,-0.85,-0.184343394566714,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.364705433300401
"38",13,"abs_max_d2",-0.8264,25,NA,0.00506485713300758,"jack_quant",-0.816473062432464,-0.836326937567536,-0.766,-0.85,-0.184343394566714,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.364705433300401
"39",13,"abs_max_d2",-0.8264,25,1,0.00506485713300758,"sim_int",-0.816473062432464,-0.836326937567536,-0.766,-0.85,-0.184343394566714,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.364705433300401
"40",14,"abs_max_d2",-0.6324,25,1,0.0743239904442405,"none",-0.486727655541989,-0.77807234445801,0.115999999999997,-0.774,0.00965660543328584,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.000376003965243399
"41",14,"abs_max_d2",-0.6324,25,NA,0.0743239904442405,"jack_quant",-0.486727655541989,-0.77807234445801,0.115999999999997,-0.774,0.00965660543328584,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.000376003965243399
"42",14,"abs_max_d2",-0.6324,25,1,0.0743239904442405,"sim_int",-0.486727655541989,-0.77807234445801,0.115999999999997,-0.774,0.00965660543328584,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.000376003965243399
"43",15,"abs_max_d2",-0.7208,25,1,0.0173897319639429,"none",-0.686716751649867,-0.754883248350133,-0.54,-0.814,-0.0787433945667142,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.000395013239241848
"44",15,"abs_max_d2",-0.7208,25,NA,0.0173897319639429,"jack_quant",-0.686716751649867,-0.754883248350133,-0.54,-0.814,-0.0787433945667142,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.000395013239241848
"45",15,"abs_max_d2",-0.7208,25,1,0.0173897319639429,"sim_int",-0.686716751649867,-0.754883248350133,-0.54,-0.814,-0.0787433945667142,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.000395013239241848
"46",16,"abs_max_d2",-0.734,25,1,0.012104865871945,"none",-0.7102748988533,-0.7577251011467,-0.602,-0.824,-0.0919433945667141,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",0.68583521782412
"47",16,"abs_max_d2",-0.734,25,NA,0.012104865871945,"jack_quant",-0.7102748988533,-0.7577251011467,-0.602,-0.824,-0.0919433945667141,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",0.68583521782412
"48",16,"abs_max_d2",-0.734,25,1,0.012104865871945,"sim_int",-0.7102748988533,-0.7577251011467,-0.602,-0.824,-0.0919433945667141,0.0275,25,0.25,1,"gam_DCl","skew","gam_DC",0.68583521782412
"49",17,"abs_max_d2",-0.5692,25,1,0.00543011151921498,"none",-0.558557176990302,-0.579842823009697,-0.514,-0.602,0.0728566054332859,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.076142087918015
"50",17,"abs_max_d2",-0.5692,25,NA,0.00543011151921498,"jack_quant",-0.558557176990302,-0.579842823009697,-0.514,-0.602,0.0728566054332859,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.076142087918015
"51",17,"abs_max_d2",-0.5692,25,1,0.00543011151921498,"sim_int",-0.558557176990302,-0.579842823009697,-0.514,-0.602,0.0728566054332859,0.0275,25,0.25,1,"gam_DC","skew","gam_DCl",0.076142087918015
