"","sim","thresh_method","thresh_mean","thresh_n","thresh_n_full","thresh_se","sig_type","ci_n_up","ci_n_low","ci_em_up","ci_em_low","thresh_diff","obs_error","ts_length","thresh_quant","cov_sd","shape","best_mod","aic_diff"
"1",1,"abs_max_d2",-0.5804,25,1,0.0381402747178826,"none",-0.505646435192487,-0.655153564807514,-0.216000000000001,-0.68,0.0616566054332858,0.55,25,0.25,0,"skew","gam",11.9643665209041
"2",1,"abs_max_d2",-0.5804,25,NA,0.0381402747178826,"jack_quant",-0.505646435192487,-0.655153564807514,-0.216000000000001,-0.68,0.0616566054332858,0.55,25,0.25,0,"skew","gam",11.9643665209041
"3",1,"abs_max_d2",-0.617083333333333,24,1,0.00759263314897049,"sim_int",-0.602202045813526,-0.63196462085314,-0.56,-0.6825,0.0249732720999525,0.55,25,0.25,0,"skew","gam",11.9643665209041
"4",2,"abs_max_d2",-0.0208333333333333,24,1,0.0236540653548916,"none",0.0255277828502109,-0.0671944495168775,0.184,-0.2,0.621223272099953,0.55,25,0.25,0,"skew","gam_ns",0.403026078304293
"5",2,"abs_max_d2",-0.0208333333333333,24,NA,0.0236540653548916,"jack_quant",0.0255277828502109,-0.0671944495168775,0.184,-0.2,0.621223272099953,0.55,25,0.25,0,"skew","gam_ns",0.403026078304293
"6",2,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","gam_ns",0.403026078304293
"7",3,"abs_max_d2",-0.17,24,1,0.0330491985895302,"none",-0.105224761046609,-0.234775238953391,0.0480000000000002,-0.4985,0.472056605433286,0.55,25,0.25,0,"skew","gam",16.4866776509356
"8",3,"abs_max_d2",-0.17,24,NA,0.0330491985895302,"jack_quant",-0.105224761046609,-0.234775238953391,0.0480000000000002,-0.4985,0.472056605433286,0.55,25,0.25,0,"skew","gam",16.4866776509356
"9",3,"abs_max_d2",-0.17,24,1,0.0330491985895302,"sim_int",-0.105224761046609,-0.234775238953391,0.0480000000000002,-0.4985,0.472056605433286,0.55,25,0.25,0,"skew","gam",16.4866776509356
"10",4,"abs_max_d2",-0.638,25,1,0.0538967634567338,"none",-0.532364284741527,-0.743635715258472,-0.0320000000000012,-0.786,0.0040566054332859,0.55,25,0.25,0,"skew","gam",24.3941445556978
"11",4,"abs_max_d2",-0.638,25,NA,0.0538967634567338,"jack_quant",-0.532364284741527,-0.743635715258472,-0.0320000000000012,-0.786,0.0040566054332859,0.55,25,0.25,0,"skew","gam",24.3941445556978
"12",4,"abs_max_d2",-0.68625,24,1,0.0228566048579676,"sim_int",-0.64145187766952,-0.73104812233048,-0.40575,-0.787,-0.0441933945667141,0.55,25,0.25,0,"skew","gam",24.3941445556978
"13",5,"abs_max_d2",NA,0,0,NA,"none",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","lm_ns",-7.68096697356668e-11
"14",5,"abs_max_d2",NA,0,NA,NA,"jack_quant",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","lm_ns",-7.68096697356668e-11
"15",5,"abs_max_d2",NA,0,0,NA,"sim_int",NA,NA,NA,NA,NA,0.55,25,0.25,0,"skew","lm_ns",-7.68096697356668e-11
"16",6,"abs_max_d2",-0.5592,25,1,0.0394577833470998,"none",-0.4818641657299,-0.6365358342701,-0.186000000000001,-0.804,0.0828566054332859,0.55,25,0.25,0,"skew","gam",9.07080980113416
"17",6,"abs_max_d2",-0.59375,24,NA,0.01847506366202,"jack_quant",-0.557539540610356,-0.629960459389644,-0.5015,-0.8105,0.0483066054332859,0.55,25,0.25,0,"skew","gam",9.07080980113416
"18",6,"abs_max_d2",-0.59375,24,1,0.01847506366202,"sim_int",-0.557539540610356,-0.629960459389644,-0.5015,-0.8105,0.0483066054332859,0.55,25,0.25,0,"skew","gam",9.07080980113416
"19",7,"abs_max_d2",-0.68125,24,1,0.0271752173600015,"none",-0.627987552702349,-0.734512447297651,-0.57575,-1.09425,-0.0391933945667142,0.55,25,0.25,0,"skew","gam_ns",1.10864409598018
"20",7,"abs_max_d2",-0.68125,24,NA,0.0271752173600015,"jack_quant",-0.627987552702349,-0.734512447297651,-0.57575,-1.09425,-0.0391933945667142,0.55,25,0.25,0,"skew","gam_ns",1.10864409598018
"21",7,"abs_max_d2",-1.2575,4,0,0.369785974134589,"sim_int",-0.532732808708146,-1.98226719129185,-0.7015,-2.08975,-0.615443394566714,0.55,25,0.25,0,"skew","gam_ns",1.10864409598018
"22",8,"abs_max_d2",0.6444,25,1,0.03881526761469,"none",0.720476526575076,0.568323473424924,0.838,0.232,1.28645660543329,0.55,25,0.25,0,"skew","gam_ns",1.05704582718303
"23",8,"abs_max_d2",0.6444,25,NA,0.03881526761469,"jack_quant",0.720476526575076,0.568323473424924,0.838,0.232,1.28645660543329,0.55,25,0.25,0,"skew","gam_ns",1.05704582718303
"24",8,"abs_max_d2",0.44,1,0,NA,"sim_int",NA,NA,NA,NA,1.08205660543329,0.55,25,0.25,0,"skew","gam_ns",1.05704582718303
"25",9,"abs_max_d2",-0.0824,25,1,0.0213704104884404,"none",-0.0405147651078197,-0.12428523489218,0.128,-0.268,0.559656605433286,0.55,25,0.25,0,"skew","gam",12.6680203501648
